58	29	92	3
58	92	85	1
1	71	1	9
17	40	36	5
51	50	87	6
14	5	87	6
40	51	2	3
52	97	10	7
42	25	8	2
56	4	31	2
61	25	2	2
64	66	13	2
27	25	46	5
90	16	76	5
46	85	26	3
17	90	62	1
40	58	28	7
72	82	63	4
38	5	17	5
90	38	26	8
44	63	89	9
6	98	19	5
75	74	94	3
4	59	34	7
94	96	10	9
82	16	5	7
25	81	93	6
93	12	68	8
1	9	86	1
35	17	3	1
67	40	66	1
48	47	93	6
36	64	50	7
85	58	34	10
38	88	71	3
21	7	19	3
39	31	81	3
8	26	81	10
22	95	83	8
26	53	5	6
77	52	41	8
7	47	19	9
78	61	10	4
65	38	11	7
38	73	56	5
84	14	82	7
28	75	8	7
81	86	12	3
92	2	55	8
96	31	38	8
54	89	28	10
60	36	96	2
12	18	26	5
88	83	80	9
12	95	16	2
68	28	32	7
3	50	98	7
92	8	49	2
49	30	82	6
22	71	10	1
99	51	96	3
42	27	50	2
69	27	68	10
57	77	48	4
3	76	84	3
77	2	63	2
87	6	15	6
11	88	96	10
26	93	26	7
22	51	26	1
54	26	70	7
10	73	32	7
8	44	1	6
28	91	29	8
5	5	54	8
2	26	80	8
46	77	78	2
60	72	90	8
28	85	99	5
94	68	11	3
94	30	42	10
60	99	6	5
55	20	87	5
56	32	91	5
15	14	87	9
32	59	33	6
96	20	98	10
82	96	77	10
33	68	81	10
80	45	98	4
72	10	35	5
31	74	40	7
99	1	45	10
98	55	26	8
23	45	6	2
46	64	19	6
35	23	90	1
40	58	29	9
89	88	35	3
46	5	82	5
